item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status	Minimum order quantity	Sell remainder
DOVO Krawattenklammer Rasiermesser	<p>DOVO Krawattenklammer Rasiermesser</p><p>Mit der DOVO Krawattenklammer im Rasiermesser-Motiv bieten wir dir ein ganz besonderes Schmuckstück. Mit ihr kannst du deinen Krawattenschal sicher am Hemd fixieren. Egal ob als hochwertiges Präsent für Sammler oder zum Aufpeppen deines eigenen Stils - mit dieser Krawattennadel machst du immer einen schneidigen Eindruck!</p><br>	0128YT62J7K	0036	35.09	5	28/01/2021 08:15:09 MET		y	4			11				B07BJF4ZWZ						4045284017579			0	DEFAULT	Standardvorlage Amazon	Active		
DOVO Krawattenklammer Rasierhobel	<p>DOVO Krawattenklammer Rasierhobel</p><p>Mit der DOVO Krawattenklammer im Rasierhobel-Design fixierst du deine Krawatte sicher an die Knopfleiste deines Hemds und sorgst damit für ein gepflegtes Auftreten. Denn spätestens, wenn du beim romantischen Date deine Krawatte ins Risotto tunkst, wirst du dich ärgern, dass du nicht zu diesem Schmuckstück gegriffen hast.</p><br>	0128YS63D5M	0038	35.09	6	28/01/2021 08:15:09 MET		y	4			11				B08DNH5VFD						4045284017593			0	DEFAULT	Standardvorlage Amazon	Active		
DOVO Rasiermesser 100 Best Quality	<p>DOVO Rasiermesser 100 Best Quality</p><p>Das DOVO 100 in 5/8 Zoll ist ein hervorragendes Rasiermesser für Einsteiger und Personen, die ein robustes und schnörkelloses Messer bevorzugen. In seinen Eigenschaften Schärfe, Gründlichkeit und Handling steht es seinen Brüdern in nichts nach. Alle Flächen des Rasiermessers werden in mehreren Stufen von Hand fein geschliffen. Die Ober- und Unterseite des Erls ist geriffelt, somit hast du ihn auch mit nassen oder schaumigen Fingern fest im Griff.</p><br><p>Material</p><p>Dieses Rasiermesser besteht aus Kohlenstoffstahl mit der Werkstoffbezeichnung 1.2210, besser bekannt als Silberstahl. Um eine Härte von circa 61 HRC zu erreichen, wird das Material auf über 1000 Grad erhitzt und anschließend sofort mit einem Spezialöl abgeschreckt. Das darauf folgende Anlassen bei etwa 200 Grad gibt der Klinge Elastizität und Zähigkeit.</p><br><p>Griffmaterial</p><p>PMMA, auch unter dem Namen Acrylglas bekannt, ist ein thermoplastischer Kunststoff. Durch einen aufwendigen Politurvorgang erhält das Material seinen unverkennbaren Glanz und unterstreicht die hochwertige Anmutung der DOVO Rasiermesser. Du musst das Material nicht besonders pflegen, wische Seifenreste und Schmutz einfach mit einem feuchten Tuch ab.</p><br><p>Schliff</p><p>Beim Hohlschliff wird das Rasiermesser vom Rücken zur Schneide hin konkav ausgeschliffen. Diese Bauform verbindet große Flexibilität mit hoher Verwindungssteifigkeit in Längsform. Die Klingendynamik sorgt für eine sanfte Rasur begleitet von einem sehr charakteristischen Klang, der durch das Schwingen des Rasiermessers beim Haarabschnitt ausgelöst wird.</p><br><p>Klingenbeschreibung</p><p>Der Rundkopf ist die klassische Form eines Rasiermessers und wird den meisten Rasiersituation gerecht. Diese Klingenausprägung ist seit Jahrhunderten sehr beliebt, da die bauchige Form sehr sicher im Bereich der Ohren, Nase und Grübchen eingesetzt werden kann. Auch im Falle eines Falles schützt dich der runde Kopf vor Verletzu	0219YZB7S1A	100581	99.99	9	19/02/2021 11:59:26 MET		y	4			11				B005HO3B5U						4045284007426			0	DEFAULT	Standardvorlage Amazon	Active		
DOVO Rasiermesser 100 Best Quality	<p>DOVO Rasiermesser 100 Best Quality</p><p>Das DOVO 100 in 6/8 Zoll ist ein hervorragendes Rasiermesser für Einsteiger und Personen, die ein robustes und schnörkelloses Messer bevorzugen. In seinen Eigenschaften Schärfe, Gründlichkeit und Handling steht es seinen Brüdern in nichts nach. Alle Flächen des Rasiermessers werden in mehreren Stufen von Hand fein geschliffen. Die Ober- und Unterseite des Erls ist geriffelt, somit hast du ihn auch mit nassen oder schaumigen Fingern fest im Griff.</p><br><p>Material</p><p>Dieses Rasiermesser besteht aus Kohlenstoffstahl mit der Werkstoffbezeichnung 1.2210, besser bekannt als Silberstahl. Um eine Härte von circa 61 HRC zu erreichen, wird das Material auf über 1000 Grad erhitzt und anschließend sofort mit einem Spezialöl abgeschreckt. Das darauf folgende Anlassen bei etwa 200 Grad gibt der Klinge Elastizität und Zähigkeit.</p><br><p>Griffmaterial</p><p>PMMA, auch unter dem Namen Acrylglas bekannt, ist ein thermoplastischer Kunststoff. Durch einen aufwendigen Politurvorgang erhält das Material seinen unverkennbaren Glanz und unterstreicht die hochwertige Anmutung der DOVO Rasiermesser. Du musst das Material nicht besonders pflegen, wische Seifenreste und Schmutz einfach mit einem feuchten Tuch ab.</p><br><p>Schliff</p><p>Beim Hohlschliff wird das Rasiermesser vom Rücken zur Schneide hin konkav ausgeschliffen. Diese Bauform verbindet große Flexibilität mit hoher Verwindungssteifigkeit in Längsform. Die Klingendynamik sorgt für eine sanfte Rasur begleitet von einem sehr charakteristischen Klang, der durch das Schwingen des Rasiermessers beim Haarabschnitt ausgelöst wird.</p><br><p>Klingenbeschreibung</p><p>Der Rundkopf ist die klassische Form eines Rasiermessers und wird den meisten Rasiersituation gerecht. Diese Klingenausprägung ist seit Jahrhunderten sehr beliebt, da die bauchige Form sehr sicher im Bereich der Ohren, Nase und Grübchen eingesetzt werden kann. Auch im Falle eines Falles schützt dich der runde Kopf vor Verletzu	0223YA43EWU	100681	106.49	7	23/02/2021 12:38:25 MET		y	4			11				B001B0M8NU						4045284007457			0	DEFAULT	Standardvorlage Amazon	Active		
DOVO Rasiermesser 101 Best Quality	<p>DOVO Rasiermesser 101 Best Quality</p><p>Das DOVO 101 in 5/8 Zoll ist ein hervorragendes Rasiermesser für Einsteiger und Personen, die ein robustes und schnörkelloses Messer bevorzugen. In seinen Eigenschaften Schärfe, Gründlichkeit und Handling steht es seinen Brüdern in nichts nach. Alle Flächen des Rasiermessers werden in mehreren Stufen von Hand fein geschliffen. Die Ober- und Unterseite des Erls ist geriffelt, somit hast du ihn auch mit nassen oder schaumigen Fingern fest im Griff.</p><br><p>Material</p><p>Dieses Rasiermesser besteht aus Kohlenstoffstahl mit der Werkstoffbezeichnung 1.2210, besser bekannt als Silberstahl. Um eine Härte von circa 61 HRC zu erreichen, wird das Material auf über 1000 Grad erhitzt und anschließend sofort mit einem Spezialöl abgeschreckt. Das darauf folgende Anlassen bei etwa 200 Grad gibt der Klinge Elastizität und Zähigkeit.</p><br><p>Griffmaterial</p><p>PMMA, auch unter dem Namen Acrylglas bekannt, ist ein thermoplastischer Kunststoff. Durch einen aufwendigen Politurvorgang erhält das Material seinen unverkennbaren Glanz und unterstreicht die hochwertige Anmutung der DOVO Rasiermesser. Du musst das Material nicht besonders pflegen, wische Seifenreste und Schmutz einfach mit einem feuchten Tuch ab.</p><br><p>Schliff</p><p>Der halbhohle Schliff vereint die individuellen Vorteile des vollhohlen und derben Schliffs. Einerseits weist die Klinge immer noch genug Flexibilität auf, um sich deiner Haut anzupassen und eine sehr sanfte Rasur zu bewerkstelligen, andererseits kann sie es auch bestens mit festeren Bartstoppeln oder starkem Bartwuchs aufnehmen.</p><br><p>Klingenbeschreibung</p><p>Der Rundkopf ist die klassische Form eines Rasiermessers und wird den meisten Rasiersituation gerecht. Diese Klingenausprägung ist seit Jahrhunderten sehr beliebt, da die bauchige Form sehr sicher im Bereich der Ohren, Nase und Grübchen eingesetzt werden kann. Auch im Falle eines Falles schützt dich der runde Kopf vor Verletzungen.</p><br>	0223YA3YUZT	101581	84.8	7	23/02/2021 12:42:18 MET		y	4			11				B000ZXB8YY						4045284007518			0	DEFAULT	Standardvorlage Amazon	Active		
DOVO Hautzange 1090	<p>DOVO Hautzange 1090</p><p>Mit der DOVO Hautzange 10900 hast du volle Kontrolle bei der Pflege deiner Nagelhaut. Die Zange passt sich jeder Handgröße optimal an und unterstützt dich so bei der Mani- und Pediküre. Durch die Doppelfeder öffnet sich die Zange selbstständig nach jedem “Schnitt” und du kannst dich voll auf das Wesentliche konzentrieren: Präzise Schnitte für perfekte Nägel!</p><br><p>Material</p><p>Das Modell ist aus Edelstahl mit der Werkstoffkennung 1.4021 hergestellt. Gerade im professionellen Bereich ist diese moderne Metalllegierung zu empfehlen, da sie häufigem Sterilisieren und Desinfizieren ohne Korrosionsbildung standhalten kann. Die mattierte Oberfläche ermöglicht dem Anwender einen festen Griff und unterstützt so anhaltend präzises Arbeiten.</p><br><p>Schliff</p><p>DOVO Zangen durchlaufen eine Vielzahl an Produktionsschritten, bevor sie zur Nutzung als hochwertiges Maniküre-Instrument bereit sind. Um beste Fertigungstoleranzen und damit herausragende Schneidergebnisse zu erreichen, ist dieses Modell von einem erfahrenen Schleifer in Handarbeit geschärft worden. Nur so kann exakte Passgenauigkeit bei der komplexen Geometrie rund um Schneide und Spitze gewährleistet werden.</p><br>	0219Y0DJU7A	109000526	54.49	2	19/02/2021 10:09:48 MET		y	4			11				B0047CTBES						4045284014523			0	DEFAULT	Standardvorlage Amazon	Active		
DOVO Rasiermesser 116 Forestal	<p>DOVO Rasiermesser 116 Forestal</p><p>Das Rasiermesser 116 Forestal in 5/8 Zoll trägt seinen Namen aufgrund seiner prunkvollen Ornamente auf Klinge und Rücken. Neben seinem seidenmattpoliertem Heft aus Rotholz, besitzt das Rasiermesser eine Kohlenstoffklinge, die durch seinen Rundkopf und vollhohlen Schliff in Sachen Gründlichkeit und Schärfe keine Wünsche offen lässt.</p><br><p>Material</p><p>Dieses Rasiermesser besteht aus Kohlenstoffstahl mit der Werkstoffbezeichnung 1.2210, besser bekannt als Silberstahl. Um eine Härte von circa 61 HRC zu erreichen, wird das Material auf über 1000 Grad erhitzt und anschließend sofort mit einem Spezialöl abgeschreckt. Das darauf folgende Anlassen bei etwa 200 Grad gibt der Klinge Elastizität und Zähigkeit. Die Ornamente entstehen durch eine Beschichtung mit 24 karätigem Gold.</p><br><p>Griffmaterial</p><p>Rotholz eignet sich vortrefflich zur Herstellung eines Rasiermesserhefts. Dieses natürliche Material ist hart genug, um auch in einer feuchten Umgebung seine Form zu halten und die geringen Fertigungstoleranzen zu bewahren. Das seidenmatt polierte Holz liefert ein einzigartiges Farbspiel und die schimmernden Rottöne werden deine Blicke auf sich ziehen.</p><br><p>Schliff</p><p>Beim Hohlschliff wird das Rasiermesser vom Rücken zur Schneide hin konkav ausgeschliffen. Diese Bauform verbindet große Flexibilität mit hoher Verwindungssteifigkeit in Längsform. Die Klingendynamik sorgt für eine sanfte Rasur begleitet von einem sehr charakteristischen Klang, der durch das Schwingen des Rasiermessers beim Haarabschnitt ausgelöst wird.</p><br><p>Klingenbeschreibung</p><p>Der Rundkopf ist die klassische Form eines Rasiermessers und wird den meisten Rasiersituation gerecht. Diese Klingenausprägung ist seit Jahrhunderten sehr beliebt, da die bauchige Form sehr sicher im Bereich der Ohren, Nase und Grübchen eingesetzt werden kann. Auch im Falle eines Falles schützt dich der runde Kopf vor Verletzungen.</p><br>	0126YK5L1ED	1165831	157.9	7	26/01/2021 07:58:54 MET		y	4			11				B078B5PS8L						4045284008799			0	DEFAULT	Standardvorlage Amazon	Active		
DOVO Rasiermesser 1516	<p>DOVO Rasiermesser 1516</p><p>Einen gewissen Retrocharme kann man dem DOVO Nr. 1516 SPECIAL einfach nicht absprechen. Mit seiner golden verzierten Klinge und seinem Heft aus Schildpattimitat ist es in den Jahrzehnten zu einem Klassiker in unserem Sortiment geworden. Mit dem DOVO SPECIAL entscheidest du dich für ein handgeschliffenes Rasiermesser in der Größe 5/8 Zoll und vollhohlem Schliff. Gut möglich, dass dein Großvater schon dieselbe Wahl getroffen hat!</p><br><p>Material</p><p>Dieses Rasiermesser besteht aus Kohlenstoffstahl mit der Werkstoffbezeichnung 1.2210, besser bekannt als Silberstahl. Um eine Härte von circa 61 HRC zu erreichen, wird das Material auf über 1000 Grad erhitzt und anschließend sofort mit einem Spezialöl abgeschreckt. Das darauf folgende Anlassen bei etwa 200 Grad gibt der Klinge Elastizität und Zähigkeit. Die Ornamente entstehen durch eine Beschichtung mit 24 karätigem Gold.</p><br><p>Griffmaterial</p><p>Schon seit der Antike wird das teure Schildpatt zur Herstellung von exquisiter Kunst und Mobiliar verwendet. Früher wurde es fast mit Gold aufgewogen und schmückt seither unzählige Königshöfe. Um die vom Aussterben bedrohte Schildkröte zu schützen, arbeiten wir ausschließlich mit einem Imitat aus seidenmatt poliertem Acrylglas.</p><br><p>Schliff</p><p>Beim Hohlschliff wird das Rasiermesser vom Rücken zur Schneide hin konkav ausgeschliffen. Diese Bauform verbindet große Flexibilität mit hoher Verwindungssteifigkeit in Längsform. Die Klingendynamik sorgt für eine sanfte Rasur begleitet von einem sehr charakteristischen Klang, der durch das Schwingen des Rasiermessers beim Haarabschnitt ausgelöst wird.</p><br><p>Klingenbeschreibung</p><p>Der Rundkopf ist die klassische Form eines Rasiermessers und wird den meisten Rasiersituation gerecht. Diese Klingenausprägung ist seit Jahrhunderten sehr beliebt, da die bauchige Form sehr sicher im Bereich der Ohren, Nase und Grübchen eingesetzt werden kann. Auch im Falle eines Falles schützt dich der rund	0219Y00FKZM	1516580	138.99	14	19/02/2021 12:03:43 MET		y	4			11				B0028BDLTQ						4045284007815			0	DEFAULT	Standardvorlage Amazon	Active		
DOVO Nagelzange 1570	<p>DOVO Nagelzange 1570</p><p>Mit der DOVO Nagelzange 1570 wird die Nagelpflege zum Spaziergang. Der geriffelte Griff sorgt stets für festen Halt und die Einzelfeder bestimmt immer den richtigen Gegendruck beim Führen der Nagelzange. Dank der gebogenen Spitze erreichst du auch an komplizierten Stellen ein perfektes Finish bei der Mani- oder Pediküre.</p><br><p>Material</p><p>Das Modell ist aus Stahl der Sorte C45 hergestellt. Dieser auch unter dem Namen Scherenstahl bekannte Werkstoff besticht durch Härte und gute Schnitthaltigkeit. Aufgrund seiner hervorragenden Eigenschaften ermöglicht er eine Produktion unter minimalsten Fertigungstoleranzen. Die Vernickelung sorgt für die wunderschöne Hochglanzoptik.</p><br><p>Schliff</p><p>DOVO Zangen durchlaufen eine Vielzahl an Produktionsschritten, bevor sie zur Nutzung als hochwertiges Maniküre-Instrument bereit sind. Um beste Fertigungstoleranzen und damit herausragende Schneidergebnisse zu erreichen, ist dieses Modell von einem erfahrenen Schleifer in Handarbeit geschärft worden. Nur so kann exakte Passgenauigkeit bei der komplexen Geometrie rund um Schneide und Spitze gewährleistet werden.</p><br>	0126YKYOUFY	1570541	36	2	26/01/2021 16:10:07 MET		y	4			11				B004GV3U7Y						4045284013755			0	DEFAULT	Standardvorlage Amazon	Active		
DOVO Abziehriemen 185	<p>DOVO Abziehriemen 185</p><p>Mit dem DOVO Abziehriemen 185 erledigst du gleich zwei Aufgaben. Mit der etwas raueren Baumwollseite bereitest du dein Messer erst auf das Ledern vor. Hierzu kannst du die Baumwollseite auch mit einem feinen Schleifmittel einreiben. Danach ziehst du dein Messer wie gewohnt auf der Lederseite ab und dein DOVO Rasiermesser ist wieder scharf wie am ersten Tag.</p><br>	0218YTRYLYZ	18535001	50.69	12	18/02/2021 13:40:42 MET		y	4			11				B002VRUEWO						4045284009239			0	DEFAULT	Standardvorlage Amazon	Active		
