item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status	Minimum order quantity	Sell remainder
DOVO Rasiermesser 100	<p>DOVO Rasiermesser 100 Best Quality</p><p>Das DOVO 100 in 5/8 Zoll ist ein hervorragendes Rasiermesser für Einsteiger und Personen, die ein robustes und schnörkelloses Messer bevorzugen. In seinen Eigenschaften Schärfe, Gründlichkeit und Handling steht es seinen Brüdern in nichts nach. Alle Flächen des Rasiermessers werden in mehreren Stufen von Hand fein geschliffen. Die Ober- und Unterseite des Erls ist geriffelt, somit hast du ihn auch mit nassen oder schaumigen Fingern fest im Griff.</p><br><p>Material</p><p>Dieses Rasiermesser besteht aus Kohlenstoffstahl mit der Werkstoffbezeichnung 1.2210, besser bekannt als Silberstahl. Um eine Härte von circa 61 HRC zu erreichen, wird das Material auf über 1000 Grad erhitzt und anschließend sofort mit einem Spezialöl abgeschreckt. Das darauf folgende Anlassen bei etwa 200 Grad gibt der Klinge Elastizität und Zähigkeit.</p><br><p>Griffmaterial</p><p>PMMA, auch unter dem Namen Acrylglas bekannt, ist ein thermoplastischer Kunststoff. Durch einen aufwendigen Politurvorgang erhält das Material seinen unverkennbaren Glanz und unterstreicht die hochwertige Anmutung der DOVO Rasiermesser. Du musst das Material nicht besonders pflegen, wische Seifenreste und Schmutz einfach mit einem feuchten Tuch ab.</p><br><p>Schliff</p><p>Beim Hohlschliff wird das Rasiermesser vom Rücken zur Schneide hin konkav ausgeschliffen. Diese Bauform verbindet große Flexibilität mit hoher Verwindungssteifigkeit in Längsform. Die Klingendynamik sorgt für eine sanfte Rasur begleitet von einem sehr charakteristischen Klang, der durch das Schwingen des Rasiermessers beim Haarabschnitt ausgelöst wird.</p><br><p>Klingenbeschreibung</p><p>Der Rundkopf ist die klassische Form eines Rasiermessers und wird den meisten Rasiersituation gerecht. Diese Klingenausprägung ist seit Jahrhunderten sehr beliebt, da die bauchige Form sehr sicher im Bereich der Ohren, Nase und Grübchen eingesetzt werden kann. Auch im Falle eines Falles schützt dich der runde Kopf vor Verletzu	0310YT644OL	100581	79	11	10/03/2021 18:37:34 MET		y	4			11				B005HO3B5U						4045284007426			0	DEFAULT	Standardvorlage Amazon	Active		
DOVO Rasiermesser 100 Best Quality - Carbonstahl Rasiermesser - 6/8 Zoll - Rundkopf - ganzer Hohlschliff - DOVO Solingen Barbiermesser	<p>DOVO Rasiermesser 100 Best Quality</p><p>Das DOVO 100 in 6/8 Zoll ist ein hervorragendes Rasiermesser für Einsteiger und Personen, die ein robustes und schnörkelloses Messer bevorzugen. In seinen Eigenschaften Schärfe, Gründlichkeit und Handling steht es seinen Brüdern in nichts nach. Alle Flächen des Rasiermessers werden in mehreren Stufen von Hand fein geschliffen. Die Ober- und Unterseite des Erls ist geriffelt, somit hast du ihn auch mit nassen oder schaumigen Fingern fest im Griff.</p><br><p>Material</p><p>Dieses Rasiermesser besteht aus Kohlenstoffstahl mit der Werkstoffbezeichnung 1.2210, besser bekannt als Silberstahl. Um eine Härte von circa 61 HRC zu erreichen, wird das Material auf über 1000 Grad erhitzt und anschließend sofort mit einem Spezialöl abgeschreckt. Das darauf folgende Anlassen bei etwa 200 Grad gibt der Klinge Elastizität und Zähigkeit.</p><br><p>Griffmaterial</p><p>PMMA, auch unter dem Namen Acrylglas bekannt, ist ein thermoplastischer Kunststoff. Durch einen aufwendigen Politurvorgang erhält das Material seinen unverkennbaren Glanz und unterstreicht die hochwertige Anmutung der DOVO Rasiermesser. Du musst das Material nicht besonders pflegen, wische Seifenreste und Schmutz einfach mit einem feuchten Tuch ab.</p><br><p>Schliff</p><p>Beim Hohlschliff wird das Rasiermesser vom Rücken zur Schneide hin konkav ausgeschliffen. Diese Bauform verbindet große Flexibilität mit hoher Verwindungssteifigkeit in Längsform. Die Klingendynamik sorgt für eine sanfte Rasur begleitet von einem sehr charakteristischen Klang, der durch das Schwingen des Rasiermessers beim Haarabschnitt ausgelöst wird.</p><br><p>Klingenbeschreibung</p><p>Der Rundkopf ist die klassische Form eines Rasiermessers und wird den meisten Rasiersituation gerecht. Diese Klingenausprägung ist seit Jahrhunderten sehr beliebt, da die bauchige Form sehr sicher im Bereich der Ohren, Nase und Grübchen eingesetzt werden kann. Auch im Falle eines Falles schützt dich der runde Kopf vor Verletzu	0310YT0YQI3	100681	106.49	9	10/03/2021 18:20:05 MET		y	4			11				B001B0M8NU						4045284007457			0	DEFAULT	Standardvorlage Amazon	Active		
DOVO Rasiermesser 101 Best Quality - Carbonstahl Rasiermesser - 5/8 Zoll - Rundkopf - halber Hohlschliff - DOVO Solingen Barbiermesser	<p>DOVO Rasiermesser 101 Best Quality</p><p>Das DOVO 101 in 5/8 Zoll ist ein hervorragendes Rasiermesser für Einsteiger und Personen, die ein robustes und schnörkelloses Messer bevorzugen. In seinen Eigenschaften Schärfe, Gründlichkeit und Handling steht es seinen Brüdern in nichts nach. Alle Flächen des Rasiermessers werden in mehreren Stufen von Hand fein geschliffen. Die Ober- und Unterseite des Erls ist geriffelt, somit hast du ihn auch mit nassen oder schaumigen Fingern fest im Griff.</p><br><p>Material</p><p>Dieses Rasiermesser besteht aus Kohlenstoffstahl mit der Werkstoffbezeichnung 1.2210, besser bekannt als Silberstahl. Um eine Härte von circa 61 HRC zu erreichen, wird das Material auf über 1000 Grad erhitzt und anschließend sofort mit einem Spezialöl abgeschreckt. Das darauf folgende Anlassen bei etwa 200 Grad gibt der Klinge Elastizität und Zähigkeit.</p><br><p>Griffmaterial</p><p>PMMA, auch unter dem Namen Acrylglas bekannt, ist ein thermoplastischer Kunststoff. Durch einen aufwendigen Politurvorgang erhält das Material seinen unverkennbaren Glanz und unterstreicht die hochwertige Anmutung der DOVO Rasiermesser. Du musst das Material nicht besonders pflegen, wische Seifenreste und Schmutz einfach mit einem feuchten Tuch ab.</p><br><p>Schliff</p><p>Der halbhohle Schliff vereint die individuellen Vorteile des vollhohlen und derben Schliffs. Einerseits weist die Klinge immer noch genug Flexibilität auf, um sich deiner Haut anzupassen und eine sehr sanfte Rasur zu bewerkstelligen, andererseits kann sie es auch bestens mit festeren Bartstoppeln oder starkem Bartwuchs aufnehmen.</p><br><p>Klingenbeschreibung</p><p>Der Rundkopf ist die klassische Form eines Rasiermessers und wird den meisten Rasiersituation gerecht. Diese Klingenausprägung ist seit Jahrhunderten sehr beliebt, da die bauchige Form sehr sicher im Bereich der Ohren, Nase und Grübchen eingesetzt werden kann. Auch im Falle eines Falles schützt dich der runde Kopf vor Verletzungen.</p><br>	0310YSYQWST	101581	63	5	10/03/2021 18:19:22 MET		y	4			11				B000ZXB8YY						4045284007518			0	DEFAULT	Standardvorlage Amazon	Active		
DOVO Rasiermesser Forestal - Carbonstahl Rasiermesser - 5/8 Zoll - Rundkopf - ganzer Hohlschliff - DOVO Solingen Barbiermesser	<p>DOVO Rasiermesser 116 Forestal</p><p>Das Rasiermesser 116 Forestal in 5/8 Zoll trägt seinen Namen aufgrund seiner prunkvollen Ornamente auf Klinge und Rücken. Neben seinem seidenmattpoliertem Heft aus Rotholz, besitzt das Rasiermesser eine Kohlenstoffklinge, die durch seinen Rundkopf und vollhohlen Schliff in Sachen Gründlichkeit und Schärfe keine Wünsche offen lässt.</p><br><p>Material</p><p>Dieses Rasiermesser besteht aus Kohlenstoffstahl mit der Werkstoffbezeichnung 1.2210, besser bekannt als Silberstahl. Um eine Härte von circa 61 HRC zu erreichen, wird das Material auf über 1000 Grad erhitzt und anschließend sofort mit einem Spezialöl abgeschreckt. Das darauf folgende Anlassen bei etwa 200 Grad gibt der Klinge Elastizität und Zähigkeit. Die Ornamente entstehen durch eine Beschichtung mit 24 karätigem Gold.</p><br><p>Griffmaterial</p><p>Rotholz eignet sich vortrefflich zur Herstellung eines Rasiermesserhefts. Dieses natürliche Material ist hart genug, um auch in einer feuchten Umgebung seine Form zu halten und die geringen Fertigungstoleranzen zu bewahren. Das seidenmatt polierte Holz liefert ein einzigartiges Farbspiel und die schimmernden Rottöne werden deine Blicke auf sich ziehen.</p><br><p>Schliff</p><p>Beim Hohlschliff wird das Rasiermesser vom Rücken zur Schneide hin konkav ausgeschliffen. Diese Bauform verbindet große Flexibilität mit hoher Verwindungssteifigkeit in Längsform. Die Klingendynamik sorgt für eine sanfte Rasur begleitet von einem sehr charakteristischen Klang, der durch das Schwingen des Rasiermessers beim Haarabschnitt ausgelöst wird.</p><br><p>Klingenbeschreibung</p><p>Der Rundkopf ist die klassische Form eines Rasiermessers und wird den meisten Rasiersituation gerecht. Diese Klingenausprägung ist seit Jahrhunderten sehr beliebt, da die bauchige Form sehr sicher im Bereich der Ohren, Nase und Grübchen eingesetzt werden kann. Auch im Falle eines Falles schützt dich der runde Kopf vor Verletzungen.</p><br>	0310YSWZ6RP	1165831	157.9	5	10/03/2021 19:11:59 MET		y	4			11				B078B5PS8L						4045284008799			0	DEFAULT	Standardvorlage Amazon	Active		
DOVO Rasiermesser 1516 - Carbonstahl Rasiermesser - 5/8 Zoll - Rundkopf - ganzer Hohlschliff - DOVO Solingen Barbiermesser	<p>DOVO Rasiermesser 1516</p><p>Einen gewissen Retrocharme kann man dem DOVO Nr. 1516 SPECIAL einfach nicht absprechen. Mit seiner golden verzierten Klinge und seinem Heft aus Schildpattimitat ist es in den Jahrzehnten zu einem Klassiker in unserem Sortiment geworden. Mit dem DOVO SPECIAL entscheidest du dich für ein handgeschliffenes Rasiermesser in der Größe 5/8 Zoll und vollhohlem Schliff. Gut möglich, dass dein Großvater schon dieselbe Wahl getroffen hat!</p><br><p>Material</p><p>Dieses Rasiermesser besteht aus Kohlenstoffstahl mit der Werkstoffbezeichnung 1.2210, besser bekannt als Silberstahl. Um eine Härte von circa 61 HRC zu erreichen, wird das Material auf über 1000 Grad erhitzt und anschließend sofort mit einem Spezialöl abgeschreckt. Das darauf folgende Anlassen bei etwa 200 Grad gibt der Klinge Elastizität und Zähigkeit. Die Ornamente entstehen durch eine Beschichtung mit 24 karätigem Gold.</p><br><p>Griffmaterial</p><p>Schon seit der Antike wird das teure Schildpatt zur Herstellung von exquisiter Kunst und Mobiliar verwendet. Früher wurde es fast mit Gold aufgewogen und schmückt seither unzählige Königshöfe. Um die vom Aussterben bedrohte Schildkröte zu schützen, arbeiten wir ausschließlich mit einem Imitat aus seidenmatt poliertem Acrylglas.</p><br><p>Schliff</p><p>Beim Hohlschliff wird das Rasiermesser vom Rücken zur Schneide hin konkav ausgeschliffen. Diese Bauform verbindet große Flexibilität mit hoher Verwindungssteifigkeit in Längsform. Die Klingendynamik sorgt für eine sanfte Rasur begleitet von einem sehr charakteristischen Klang, der durch das Schwingen des Rasiermessers beim Haarabschnitt ausgelöst wird.</p><br><p>Klingenbeschreibung</p><p>Der Rundkopf ist die klassische Form eines Rasiermessers und wird den meisten Rasiersituation gerecht. Diese Klingenausprägung ist seit Jahrhunderten sehr beliebt, da die bauchige Form sehr sicher im Bereich der Ohren, Nase und Grübchen eingesetzt werden kann. Auch im Falle eines Falles schützt dich der rund	0310YSE4CVQ	1516580	128	14	10/03/2021 18:37:00 MET		y	4			11				B0028BDLTQ						4045284007815			0	DEFAULT	Standardvorlage Amazon	Active		
DOVO Abziehriemen 152	<p>DOVO Abziehriemen 152</p><p>Der DOVO Abziehriemen 152 dient zum Abziehen der Schneide deines Rasiermessers vor jeder Rasur. Erst den Riemen stramm spannen, dann das Messer, auf Rücken und Schneide liegend, Richtung Rücken ziehen. Der Vorteil eines Hängeriemens ist, dass du ihn Zusammenrollen und so platzsparend Zuhause verstauen kannst.</p><br>	0310YT14KMJ	15240001	43.8	12	10/03/2021 18:42:39 MET		y	4			11				B002VRXRGO						4045284009178			0	DEFAULT	Standardvorlage Amazon	Active		
DOVO Nagelzange 1570	<p>DOVO Nagelzange 1570</p><p>Mit der DOVO Nagelzange 1570 wird die Nagelpflege zum Spaziergang. Der geriffelte Griff sorgt stets für festen Halt und die Einzelfeder bestimmt immer den richtigen Gegendruck beim Führen der Nagelzange. Dank der gebogenen Spitze erreichst du auch an komplizierten Stellen ein perfektes Finish bei der Mani- oder Pediküre.</p><br><p>Material</p><p>Das Modell ist aus Stahl der Sorte C45 hergestellt. Dieser auch unter dem Namen Scherenstahl bekannte Werkstoff besticht durch Härte und gute Schnitthaltigkeit. Aufgrund seiner hervorragenden Eigenschaften ermöglicht er eine Produktion unter minimalsten Fertigungstoleranzen. Die Vernickelung sorgt für die wunderschöne Hochglanzoptik.</p><br><p>Schliff</p><p>DOVO Zangen durchlaufen eine Vielzahl an Produktionsschritten, bevor sie zur Nutzung als hochwertiges Maniküre-Instrument bereit sind. Um beste Fertigungstoleranzen und damit herausragende Schneidergebnisse zu erreichen, ist dieses Modell von einem erfahrenen Schleifer in Handarbeit geschärft worden. Nur so kann exakte Passgenauigkeit bei der komplexen Geometrie rund um Schneide und Spitze gewährleistet werden.</p><br>	0310YSX4178	1570541	36	1	10/03/2021 19:02:18 MET		y	4			11				B004GV3U7Y						4045284013755			0	DEFAULT	Standardvorlage Amazon	Active		
DOVO Abziehriemen 185	<p>DOVO Abziehriemen 185</p><p>Mit dem DOVO Abziehriemen 185 erledigst du gleich zwei Aufgaben. Mit der etwas raueren Baumwollseite bereitest du dein Messer erst auf das Ledern vor. Hierzu kannst du die Baumwollseite auch mit einem feinen Schleifmittel einreiben. Danach ziehst du dein Messer wie gewohnt auf der Lederseite ab und dein DOVO Rasiermesser ist wieder scharf wie am ersten Tag.</p><br>	0310YTJ4JHA	18535001	50.69	12	10/03/2021 18:50:14 MET		y	4			11				B002VRUEWO						4045284009239			0	DEFAULT	Standardvorlage Amazon	Active		
DOVO Spannschraubriemen 186	<p>DOVO Spannschraubriemen 186</p><p>Der DOVO Spannschraubriemen 186 ist ein klassischer Stoßriemen zum Abziehen deines Rasiermessers. Erst die Mechanik spannen und dann wie gewohnt das Messer sanft über das gefettete Leder laufen lassen. Hiermit kannst du auch den Grat deiner herkömmlichen Messer wieder aufrichten. Das pflanzlich gegerbte Leder zeichnet sich durch gute Hautverträglichkeit aus.</p><br>	0310YSOVY1L	186210011	71.1	2	10/03/2021 18:57:55 MET		y	4			11				B074CQMV8W						4045284010365			0	DEFAULT	Standardvorlage Amazon	Active		
DOVO Shavette Edelstahl	<p>DOVO Shavette Edelstahl</p><p>Die Shavette ist ein Rasiermesser für Wechselklingen. Sie kann genauso wie ein klassisches Rasiermesser eingesetzt werden. Durch die Möglichkeit zum Klingenwechsel ist sie aber gerade im Barbierhandwerk extrem beliebt, da jeder Kunde so eine frische Klinge erhält. Diese Edelstahlausführung glänzt durch eine Politur an Erl und Rücken, während das Heft matt gehalten ist.</p><br><p>Material</p><p>Diese Shavette wird aus Edelstahl gefertigt. Das Metall zeigt gute Korrosionsbeständigkeit gegen Seifen, Wasser sowie Wasserdampf und ist daher ideal für die Herstellung von hochwertigen Kosmetikprodukten geeignet. Wenn du lieber mit etwas schwereren Wechselklingenmessern arbeitest, dann solltest du zu diesem Modell greifen. Das polierte Finish macht die Shavette zu einem absoluten Blickfang.</p><br><p>Griffmaterial</p><p>Das Heft dieser Shavette haben wir aus rostfreiem Edelstahl gefertigt. Dieses Material ist ausgesprochen korrosionsbeständig gegen Wasser, Wasserdampf und Luftfeuchtigkeit. So ist es bestens für den Einsatz als Wechselklingenmesser geeignet. Die Mattierung sorgt dafür, dass du die Shavette auch mit feuchten Händen sicher greifen kannst. Darüber hinaus hilft dir das erhöhte Gewicht dabei, die Klinge mühelos über dein Gesicht gleiten zu lassen.</p><br>	0310YTA3LUB	201006	24	17	10/03/2021 19:10:58 MET		y	4			11				B001QJTYVA						4045284009338			0	DEFAULT	Standardvorlage Amazon	Active		
