item-name	listing-id	seller-sku	price	quantity	open-date	product-id-type	item-note	item-condition	will-ship-internationally	expedited-shipping	product-id	pending-quantity	fulfillment-channel	merchant-shipping-group	status	Minimum order quantity	Sell remainder
DOVO Pince à cravate rasoir de sécurité.	0212YCMTTTG	0038	35.09	6	12/02/2021 10:59:49 MET	1		11			B08DNH5VFD	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Rasiermesser 100 Best Quality	0219YZM80ER	100581	99.99	9	19/02/2021 12:08:04 MET	4		11			4045284007426	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Rasiermesser 100 Best Quality	0223YA6GA9I	100681	106.49	7	23/02/2021 12:55:37 MET	4		11			4045284007457	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Rasiermesser 101 Best Quality	0223YAB1MZE	101581	84.8	6	23/02/2021 12:55:37 MET	4		11			4045284007518	0	DEFAULT	Modèle par défaut Amazon	Active		
Pince A A Envies Ouverte "Contour" Dovo Solingen - Référence : 10900.0526	0219YZYHD1V	109000526	54.49	2	19/02/2021 10:13:40 MET	1		11			B0047CTBES	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Rasiermesser 116 Forestal	0222Y5OMSLI	1165831	157.9	6	22/02/2021 08:35:07 MET	4		11			4045284008799	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Rasiermesser 1516	0219Y02U66X	1516580	138.99	14	19/02/2021 12:08:04 MET	4		11			4045284007815	0	DEFAULT	Modèle par défaut Amazon	Active		
Pince à ongles Americaine Dovo solingen 1570.541	0114YFA774B	1570541	37	2	14/01/2021 10:49:40 MET	4		11			4045284013755	0	DEFAULT	Modèle par défaut Amazon	Active		
DOV18535001 Razor Strop Cowhide Organic	0218YUJCAMQ	18535001	50.69	12	18/02/2021 13:57:10 MET	1		11			B002VRUEWO	0	DEFAULT	Modèle par défaut Amazon	Active		
Cuir rasoir dovo 186.210011	0114YFVQ6LW	186210011	73	5	14/01/2021 10:49:40 MET	4		11			4045284010365	0	DEFAULT	Modèle par défaut Amazon	Active		
Shavette DOVO inoxydable poli, poignée inoxydable satinée	0213YE5H2UP	201006	24	8	13/02/2021 02:38:42 MET	1		11			B001QJTYVA	0	DEFAULT	Modèle par défaut Amazon	Active		
Dovo Shavette Rasoir 1 Unité	0114YFQ3PIL	201061	49	10	14/01/2021 10:49:40 MET	4		11			4045284010372	0	DEFAULT	Modèle par défaut Amazon	Active		
Dovo DOV201081 Couteau à cran d'arrêt unisexe pour adulte Rouge Taille unique	0220Y1ZMQ9T	201081	23	15	20/02/2021 10:07:27 MET	1		11			B009ZQHIWI	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Solingen - Shavette, rasoir à lame interchangeable, Aluminium, 201087	0219Y04G3DV	201087	30.7	13	19/02/2021 10:31:32 MET	1		11			B002A8QUKY	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Rasiermesser 25	0301YU5KZHO	255831	128.99	4	01/03/2021 20:10:03 MET	4		11			4045284007976	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Rasiermesser 2 Bismarck	0114YF5I1IY	26810	169.45	6	14/01/2021 10:49:40 MET	4		11			4045284008287	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Rasiermesser 2 Bismarck	0114YG960NA	26820	148.25	10	14/01/2021 10:49:40 MET	4		11			4045284008300	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Rasiermesser 2 Bismarck	0114YG121X5	26830	165.99	5	14/01/2021 10:49:40 MET	4		11			4045284008812	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Rasiermesser Barbarossa	0301YVE7BHU	305870	131.25	3	01/03/2021 20:10:03 MET	4		11			4045284008898	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Rasiermesser 3 Bergischer Löwe	0222Y61AISH	3580	295.95	4	22/02/2021 10:42:49 MET	4		11			4045284007020	0	DEFAULT	Modèle par défaut Amazon	Active		
