item-name	listing-id	seller-sku	price	quantity	open-date	product-id-type	item-note	item-condition	will-ship-internationally	expedited-shipping	product-id	pending-quantity	fulfillment-channel	merchant-shipping-group	status	Minimum order quantity	Sell remainder
Best Quality	0331YGFBN59	100581	99	8	31/03/2021 13:01:44 MEST	4		11			4045284007426	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Shavette Edelstahl	0324Y08P95P	201006	38	13	24/03/2021 18:13:20 MET	4		11			4045284009338	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Shavette Ebenholz	0324Y08TXMH	201061	55	8	24/03/2021 18:13:42 MET	4		11			4045284010372	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Shavette	0324Y0C339W	201081	29	12	24/03/2021 18:45:54 MET	4		11			4045284009376	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Shavette	0324Y0A23AL	201087	33	11	24/03/2021 18:25:39 MET	4		11			4045284009390	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Haarschere 20	0401YJ5XFH2	20706	82.8	2	01/04/2021 13:49:44 MEST	4		11			4045284000328	0	DEFAULT	Modèle par défaut Amazon	Active		
Apex	0405YPV94B4	255831	129	3	05/04/2021 14:21:03 MEST	4		11			4045284007976	0	DEFAULT	Modèle par défaut Amazon	Active		
Bismarck	0311YXLO8U5	26810	169	12	11/03/2021 15:05:27 MET	4		11			4045284008287	0	DEFAULT	Modèle par défaut Amazon	Active		
Bergischer Löwe	0311YXLWWF1	3580	290	9	11/03/2021 15:13:22 MET	4		11			4045284007020	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Hautschere 3650	0405YPYEZKQ	3650356	31	12	05/04/2021 14:42:34 MEST	4		11			4045284004487	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Inox	0323YX7O6QB	415875	159	2	23/03/2021 16:36:51 MET	4		11			4045284007242	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Bart-/Nasenhaarschere 44	0405YQ27UI7	44406	38.3	5	05/04/2021 14:42:19 MEST	4		11			4045284005156	0	DEFAULT	Modèle par défaut Amazon	Active		
Prima	0311YXRL95X	4580	129	16	11/03/2021 15:11:44 MET	4		11			4045284007037	0	DEFAULT	Modèle par défaut Amazon	Active		
MERKUR Safety Rasoir 15C, Argent	0405YQ2AKUR	9015001	32.9	14	05/04/2021 14:43:57 MEST	4		11			4045284011072	0	DEFAULT	Modèle par défaut Amazon	Active		
Merkur Safety Rasoir 34G Hd Gold	0405YPZD2OL	9034003	55.9	17	05/04/2021 14:48:11 MEST	4		11			4045284011140	0	DEFAULT	Modèle par défaut Amazon	Active		
Merkur 1 rasoir de sécurité.	0405YQ1TO1D	9039001	52.9	8	05/04/2021 14:44:12 MEST	4		11			4045284012475	0	DEFAULT	Modèle par défaut Amazon	Active		
Rasierpinsel Acryl schwarz	0405YQ0F2QZ	918052	75	4	05/04/2021 14:42:08 MEST	4		11			4045284009598	0	DEFAULT	Modèle par défaut Amazon	Active		
Rasierpinsel Olivenholz	0405YPV90FX	918106	69	4	05/04/2021 14:21:03 MEST	4		11			4045284010136	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Pince à cravate rasoir de sécurité.	0212YCMTTTG	0038	35.09	6	12/02/2021 10:59:49 MET	1		11			B08DNH5VFD	0	DEFAULT	Modèle par défaut Amazon	Inactive		
Best Quality	0223YA6GA9I	100681	109	16	23/02/2021 12:55:37 MET	4		11			4045284007457	0	DEFAULT	Modèle par défaut Amazon	Inactive		
Best Quality	0223YAB1MZE	101581	89	14	23/02/2021 12:55:37 MET	4		11			4045284007518	0	DEFAULT	Modèle par défaut Amazon	Inactive		
Dovo Soligen 1028.056 Trousse moustache cuir marron (ciseaux moustache 11 cm droits inox satiné ref. 43.456 et brosse/peigne).	0114YFLXIHL	1028056	74.6	0	14/01/2021 10:49:40 MET	4		11			4045284025949	0	DEFAULT	Modèle par défaut Amazon	Inactive		
Dovo Soligen 1041.056 Set manucure cuir marron (ciseaux pointe de glaive Percy 9 cm courbes inox satiné, lime 9 cm inox satiné)	0114YFP44A9	1041056	47	0	14/01/2021 10:49:40 MET	4		11			4045284026076	0	DEFAULT	Modèle par défaut Amazon	Inactive		
Dovo Soligen 1047.056 Set manucure cuir marron (ciseaux ongles 10 cm courbes inox satiné, lime 9 cm inox satiné).	0114YFB0XGA	1047056	74	0	14/01/2021 10:49:40 MET	4		11			4045284026274	0	DEFAULT	Modèle par défaut Amazon	Inactive		
Dovo Étui de manucure en cuir marron 4 pièces 1058056	0114YG5GK55	1058056	54	0	14/01/2021 10:49:40 MET	4		11			4045284026472	0	DEFAULT	Modèle par défaut Amazon	Inactive		
Bergischer Löwe	0301YTX17J0	10581193	282		01/03/2021 12:30:08 MET	1		11			B002A8N3EA		AMAZON_EU	Modèle par défaut Amazon	Inactive		
Pinces Contour Dovo solingen 10660.508	0114YFN4XZQ	10660508	85	0	14/01/2021 10:49:40 MET	4		11			4045284014639	0	DEFAULT	Modèle par défaut Amazon	Inactive		
Bismarck	0301YTRL34N	10681082	161.49		01/03/2021 12:31:46 MET	1		11			B00G444XXQ		AMAZON_EU	Modèle par défaut Amazon	Inactive		
Forestal	0222Y5OMSLI	1165831	159	4	22/02/2021 08:35:07 MET	4		11			4045284008799	0	DEFAULT	Modèle par défaut Amazon	Inactive		
Dovo - 148.506 - Pince Ongles Ouverte - Mors Concaves - 13 cm - Inox Satine	0114YFOHS4S	148506	57	0	14/01/2021 10:49:40 MET	4		11			4045284013052	0	DEFAULT	Modèle par défaut Amazon	Inactive		
MERKUR Safety Rasoir 15C, Argent	0227YQSUP0R	15 001	35		27/02/2021 18:22:22 MET	1		11			B002CLL85Q		AMAZON_EU	Modèle par défaut Amazon	Inactive		
Special	0219Y02U66X	1516580	139	13	19/02/2021 12:08:04 MET	4		11			4045284007815	0	DEFAULT	Modèle par défaut Amazon	Inactive		
DOVO Abziehriemen 152	0219YZDF4BT	15240001	49.9	9	19/02/2021 10:31:32 MET	4		11			4045284009178	0	DEFAULT	Modèle par défaut Amazon	Inactive		
DOVO Nagelzange 1570	0114YFA774B	1570541	36	0	14/01/2021 10:49:40 MET	4		11			4045284013755	0	DEFAULT	Modèle par défaut Amazon	Inactive		
Dovo - 16.556 - Ciseaux Coiffeur avec Amortisseur et Poucettes à Vis - 14 cm - Inox Satine	0114YFQW6IK	16556	43	0	14/01/2021 10:49:40 MET	4		11			4045284000229	0	DEFAULT	Modèle par défaut Amazon	Inactive		
