item-name	listing-id	seller-sku	price	quantity	open-date	product-id-type	item-note	item-condition	will-ship-internationally	expedited-shipping	product-id	pending-quantity	fulfillment-channel	merchant-shipping-group	status	Minimum order quantity	Sell remainder
Best Quality	0331YGFBN59	100581	99	8	31/03/2021 13:01:44 MEST	4		11			4045284007426	0	DEFAULT	Modèle par défaut Amazon	Active		
Best Quality	0405YQ71YL2	100681	109	16	05/04/2021 15:56:29 MEST	4		11			4045284007457	0	DEFAULT	Modèle par défaut Amazon	Active		
Best Quality	0405YQ4UO65	101581	89	14	05/04/2021 15:56:13 MEST	4		11			4045284007518	0	DEFAULT	Modèle par défaut Amazon	Active		
Forestal	0405YQ33USA	1165831	159	4	05/04/2021 15:55:39 MEST	4		11			4045284008799	0	DEFAULT	Modèle par défaut Amazon	Active		
Special	0405YQ2JNX7	1516580	139	13	05/04/2021 15:55:23 MEST	4		11			4045284007815	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Abziehriemen 152	0405YQ8ZIIK	15240001	49.9	10	05/04/2021 16:07:59 MEST	4		11			4045284009178	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Abziehriemen 185	0405YQAKMY9	18535001	55	11	05/04/2021 15:54:23 MEST	4		11			4045284009239	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Spannschraubriemen 186	0405YQ32ZAN	186210011	75	5	05/04/2021 15:54:13 MEST	4		11			4045284010365	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Shavette Edelstahl	0324Y08P95P	201006	38	13	24/03/2021 18:13:20 MET	4		11			4045284009338	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Shavette Ebenholz	0324Y08TXMH	201061	55	8	24/03/2021 18:13:42 MET	4		11			4045284010372	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Shavette	0324Y0C339W	201081	29	12	24/03/2021 18:45:54 MET	4		11			4045284009376	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Shavette	0324Y0A23AL	201087	33	11	24/03/2021 18:25:39 MET	4		11			4045284009390	0	DEFAULT	Modèle par défaut Amazon	Active		
DOVO Haarschere 20	0401YJ5XFH2	20706	82.8	2	01/04/2021 13:49:44 MEST	4		11			4045284000328	0	DEFAULT	Modèle par défaut Amazon	Active		
Apex	0405YPV94B4	255831	129	3	05/04/2021 14:21:03 MEST	4		11			4045284007976	0	DEFAULT	Modèle par défaut Amazon	Active		
Bismarck	0311YXLO8U5	26810	169	12	11/03/2021 15:05:27 MET	4		11			4045284008287	0	DEFAULT	Modèle par défaut Amazon	Active		
Bismarck	0405YQ50EA0	26820	149	4	05/04/2021 15:53:41 MEST	4		11			4045284008300	0	DEFAULT	Modèle par défaut Amazon	Active		
Bismarck	0405YQ6F9CM	26830	169	8	05/04/2021 15:53:32 MEST	4		11			4045284008812	0	DEFAULT	Modèle par défaut Amazon	Active		
